data,timestamp
1113820.946,1739527708.423558
1068875.572,1739527708.883676
1039906.450,1739527709.395206
1036737.752,1739527709.906751
942327.918,1739527710.521320
700636.218,1739527710.878873
530497.597,1739527711.390319
475352.117,1739527711.901788
474294.700,1739527712.413164
560182.432,1739527712.924689
630949.977,1739527713.437063
677405.034,1739527713.897747
712539.380,1739527714.409352
729464.645,1739527714.869851
760198.055,1739527715.433065
813147.951,1739527715.892959
853338.673,1739527716.404983
872976.555,1739527716.916895
839244.970,1739527717.428784
719600.629,1739527717.889345
607540.675,1739527718.452582
507680.981,1739527718.913175
458157.723,1739527719.425096
489339.343,1739527719.885306
518912.586,1739527720.448670
545911.327,1739527720.909375
543972.883,1739527721.421224
495625.229,1739527721.932900
458925.663,1739527722.445237
440882.948,1739527722.905630
416800.400,1739527723.416372
383055.059,1739527723.876924
375719.494,1739527724.392673
410664.245,1739527724.904248
484567.823,1739527725.415986
620896.167,1739527725.876162
697313.128,1739527726.387549
677642.456,1739527726.899102
654729.414,1739527727.411168
626632.205,1739527727.922842
666008.700,1739527728.435481
813515.654,1739527728.896324
944493.481,1739527729.408410
1048927.755,1739527729.920077
1088471.479,1739527730.432287
1023628.661,1739527730.892689
992746.453,1739527731.404350
1016416.571,1739527731.916178
1009479.109,1739527732.428066
953337.798,1739527732.888945
895395.557,1739527733.453260
834557.666,1739527733.913531
799712.357,1739527734.425116
806531.522,1739527734.937220
789926.097,1739527735.449631
735799.279,1739527735.910726
682122.941,1739527736.422194
629174.119,1739527736.933715
609560.899,1739527737.444750
643219.437,1739527737.904757
662933.467,1739527738.416923
660335.583,1739527738.877553
655080.435,1739527739.388818
645569.909,1739527739.900313
672107.551,1739527740.412388
756268.372,1739527740.923829
783597.724,1739527741.383972
720005.721,1739527741.895892
636828.189,1739527742.459464
522330.435,1739527742.868273
486954.597,1739527743.431551
577803.865,1739527743.892097
679414.245,1739527744.403751
798232.372,1739527744.915432
891250.115,1739527745.478368
942987.523,1739527745.887568
1002189.874,1739527746.398672
1073345.238,1739527746.910501
1122444.654,1739527747.421532
1136215.259,1739527747.882078
1132210.412,1739527748.445446
1099733.425,1739527748.905534
1019273.294,1739527749.416818
861971.339,1739527749.928128
722517.604,1739527750.440009
611584.229,1739527750.900516
537890.632,1739527751.412200
523558.124,1739527751.923365
518186.585,1739527752.486233
527094.666,1739527752.947077
496674.222,1739527753.459090
403573.432,1739527753.919519
382609.439,1739527754.431601
476375.000,1739527754.892034
591867.623,1739527755.455413
741961.156,1739527755.915892
837614.245,1739527756.376232
846369.222,1739527756.887473
830820.938,1739527757.450496
776463.844,1739527757.859258
762269.640,1739527758.472190
812099.760,1739527758.880811
873458.105,1739527759.392360
953209.591,1739527759.904152
1009401.373,1739527760.467077
1027977.242,1739527760.927021
1042199.782,1739527761.386809
1049468.793,1739527761.899670
1047218.578,1739527762.462572
1029775.114,1739527762.922965
1038380.430,1739527763.435470
1088554.184,1739527763.896203
1137247.140,1739527764.408074
1183580.055,1739527764.919946
1203714.114,1739527765.431150
1181966.648,1739527765.891872
1165131.922,1739527766.403837
1156129.287,1739527766.915608
1132806.407,1739527767.477703
1086611.670,1739527767.938600
1057178.539,1739527768.450212
1054458.066,1739527768.910986
966864.125,1739527769.422781
743909.096,1739527769.934805
588121.909,1739527770.446921
539014.810,1739527770.907499
397913.466,1739527771.418995
110466.705,1739527771.931234
10053.318,1739527772.954839
74948.236,1739527773.415490
156331.236,1739527773.876727
359284.767,1739527774.438749
754328.261,1739527774.950481
1024704.941,1739527775.411045
1096670.860,1739527775.973780
1137900.606,1739527776.382605
1130147.368,1739527776.945024
1119952.381,1739527777.405016
1105863.860,1739527777.864900
1042341.320,1739527778.427644
900135.583,1739527778.887446
728833.677,1739527779.399714
511325.858,1739527779.911317
